Fiscal Year,Core Annual Nominal ($B),Core Cumulative Nominal ($B),Core Annual 2024$ ($B),Core Cumulative 2024$ ($B),Extended Annual Nominal ($B),Extended Cumulative Nominal ($B),Extended Annual 2024$ ($B),Extended Cumulative 2024$ ($B),CPI-U Annual Avg,Data Gap Flag
2004,0.49,0.49,0.81,0.81,1.71,1.71,2.84,2.84,188.9,N
2005,0.06,0.55,0.10,0.91,0.11,1.82,0.18,3.02,195.3,Y
2006,0.07,0.62,0.11,1.02,0.09,1.91,0.14,3.16,201.6,Y
2007,0.16,0.78,0.24,1.26,2.71,4.62,4.10,7.26,207.3,N
2008,0.18,0.96,0.26,1.52,2.79,7.41,4.07,11.33,215.3,N
2009,1.60,2.56,2.34,3.86,4.80,12.21,7.03,18.36,214.5,N
2010,1.83,4.39,2.63,6.49,5.02,17.23,7.23,25.59,218.1,N
2011,1.85,6.24,2.58,9.07,4.91,22.14,6.86,32.45,224.9,N
2012,2.51,8.75,3.43,12.50,6.51,28.65,8.90,41.35,229.6,N
2013,0.29,9.04,0.39,12.89,2.25,30.90,3.03,44.38,233.0,Y
2014,0.32,9.36,0.42,13.31,5.79,36.69,7.68,52.06,236.7,N
2015,0.48,9.84,0.64,13.95,6.10,42.79,8.08,60.14,237.0,N
2016,1.72,11.56,2.25,16.20,7.40,50.19,9.68,69.82,240.0,N
2017,2.09,13.65,2.68,18.88,8.36,58.55,10.71,80.53,245.1,N
2018,1.09,14.74,1.36,20.24,3.87,62.42,4.84,85.37,251.1,Y
2019,2.71,17.45,3.33,23.57,9.95,72.37,12.22,97.59,255.7,N
2020,3.11,20.56,3.77,27.34,11.36,83.73,13.78,111.37,258.8,N
2021,3.33,23.89,3.87,31.21,11.54,95.27,13.42,124.79,270.0,N
2022,3.60,27.49,3.86,35.07,12.53,107.80,13.44,138.23,292.7,N
2023,4.09,31.58,4.21,39.28,13.13,120.93,13.53,151.76,304.7,N
2024,4.19,35.77,4.19,43.47,13.55,134.48,13.55,165.31,314.0,N
